ID,NOME_INTEGRADOR,NOME_FANTASIA,RAZAO_SOCIAL,CNPJ,TELEFONE,CIDADE,ESTADO,nome_rca
318,SIDNEI COSTA DE VASCONCELOS Solineia Sales,I9 AMBIENTAL,SIDNEI COSTA DE VASCONCELOS,24.622.881/0001-40,(82)8876-7851,MACEIO,Alagoas,FLÁVIA SOUTO
355,Brasil Energia Solar LTDA Róger Assis,Brasil Energia Solar LTDA,Brasil Energia Solar LTDA,31.599.549/0001-78,(82)9904-7220,Marechal Deodoro,Alagoas,A DEFINIR
751,Innover Engenharia Miguel Silva,INNOVER ENGENHARIA MIGUEL SILVA,Innover Engenharia,18.527.644/0001-06,(82)9633-5179,DELMIRO GOUVEIA,Alagoas,
889,SYLVIO FERREIRA DE MELO 02809849447 SYLVIO FERREIRA,SYLVIO FERREIRA DE MELO 02809849447,SYLVIO FERREIRA DE MELO 02809849447,11.638.092/0001-56,(82)99963-4846,Maceió,Alagoas,A DEFINIR
922,Joao Barbosa,JJ SOLAR,Joao,34.495.264/0001-85,(82) 99186-0852,Craíbas,Alagoas,
1004,SOLARIC ENERGIA FOTOVOLTAICA INDUSTRIA E SERVICO LTDA RAYSA SOLARIC,SOLARIC ENERGIA FOTOVOLTAICA,SOLARIC ENERGIA FOTOVOLTAICA INDUSTRIA E SERVICO LTDA,29.722.597/0001-60,(82)99645-7125,MACEIO,Alagoas,FLÁVIA SOUTO
1009,A+ Ecoenergy Cristian Salinas,NULL,A+ Ecoenergy,22.553.059/0001-40,(82)99826-7327,Olivença,Alagoas,A DEFINIR
1182,ELESEG-SEGURANCA ELETRONICA FABRICIO ANTONIO FERREIRA,NULL,ELESEG-SEGURANCA ELETRONICA,14.930.825/0001-10,(82)9619-0688,MACEIO,Alagoas,Wilson Barbosa
1300,ALEXANDRE ALVES Alexandre,ALEXANDRE ALVES DO NASCIMENTO 01266130446,ALEXANDRE ALVES,13.002.858/0001-37,(82)98823-2688,MACEIO,Alagoas,FLÁVIA SOUTO
1399,CS LOPES DE ALMEIDA H3 ENERGIE Yuri (sócio),H3 ENERGIE,CS LOPES DE ALMEIDA H3 ENERGIE,33.915.480/0001-70,(82)99901-5369,Ouro Branco,Alagoas,MARIELLEN HOLANDA
1401,Givanildo Barbosa da Silva - MEI Givanido Givanildo,ND Soluções e Tecnologia,Givanildo Barbosa da Silva - MEI,27.109.858/0001-45,82999545152,arapiraca,Alagoas,JOÃO NETO
1457,MAC SOLUÇÕES EM ENERGIA SOLAR LTDA Guilherme Fazio,MAC SOLAR BRASIL,MAC SOLUÇÕES EM ENERGIA SOLAR LTDA,27.786.109/0001-52,(82)99956-0101,Maceió,Alagoas,NAYARA GONÇALVES
1459,Girleno Cavalcante da Silva,G CAVALCANTE SOLAR,Girleno,28.716.510/0001-89,(82)998069722,ARAPIRACA,Alagoas,
1460,JANIO DOS SANTOS REIS INFORMATICA Jânio,OPEN ENERGY,JANIO DOS SANTOS REIS INFORMATICA,10.887.777/0001-73,(82)9185-2186,TEOTONIO VILELA,Alagoas,BRUNO MARQUES
1473,Ronny Everson Leopoldino da Silva Leopoldino da Silva da Silva,ENGENHARIA PRECISION LTDA,Ronny Everson Leopoldino da Silva,38.397.868/0001-40,(82)8815-3001,Maceió,Alagoas,FLÁVIA SOUTO
1480,JOYCE TENORIO MACIEL 11790511496 Joyce Tenorio Maciel,CLEAN ENERGY SOLUTIONS,JOYCE TENORIO MACIEL 11790511496,36.269.498/0001-30,82 996154607,Maceió,Alagoas,
1486,ISMAEL EVARISTO DA SILVA 055.477.494-19 ISMAEL EVARISTO DA SILVA,GE AUTOMACAO ELETRICA,ISMAEL EVARISTO DA SILVA 055.477.494-19,30.861.392/0001-44,82993373878,Marechal Deodoro,Alagoas,
1506,ALMEIDA E GUSMÃO ENG E SERVIÇOS LTDA ANDRÉ GUSMÃO,GREEN,ALMEIDA E GUSMÃO ENG E SERVIÇOS LTDA,17.281.457/0001-14,(82) 99982-1031,Maceió,Alagoas,FLÁVIA SOUTO
1519,Sergio Francisco da Silva Sergio Francisco da Silva,SERGIO FRANCISCO DA SILVA 00834004437,Sergio Francisco da Silva,20.071.496/0001-00,(82)9936-5088,ARAPIRACA,Alagoas,
1626,LEONARDO ARGOLO LOBO ALVES 11357027486 LEONARDO ARGOLO LOBO ALVES,OFF-GRID ENGENHARIA,LEONARDO ARGOLO LOBO ALVES 11357027486,31.955.101/0001-40,82999445562,Maceió,Alagoas,MARIELLEN HOLANDA
1679,NOBRE ENGENHARIA E ARQUITETURA LTDA Joao Paulo Piatti,NOBRE ENGENHARIA E ARQUITETURA LTDA,NOBRE ENGENHARIA E ARQUITETURA LTDA,13.704.959/0001-50,(82)3241-1988,MACEIO,Alagoas,
1712,EFETIVIDADE TECNOLOGIA LTDA Glevson da Silva Pinto,EFETIVIDADE TECNOLOGIA,EFETIVIDADE TECNOLOGIA LTDA,25.988.421/0001-01,82993022941,Teotônio Vilela,Alagoas,BRUNO MARQUES
1789,ISRAEL ISIDIO DA SILVA 05500987470 israel,ISRAEL ISIDIO DA SILVA 05500987470,ISRAEL ISIDIO DA SILVA 05500987470,14.068.552/0001-46,(82)99900-6058,MACEIO,Alagoas,
1797,TERMAN SERVIÇO EM ENERGIA RENOVAVEIS E REPRESENTAÇOES LTDA ME ANDRE SERVIÇO EM ENERGIA RENOVAVEIS E REPRESENTAÇOES LTDA ME,TERMAN,TERMAN SERVIÇO EM ENERGIA RENOVAVEIS E REPRESENTAÇOES LTDA ME,24.280.905/0001-20,(82)99993-8489,maceió-al,Alagoas,FLÁVIA SOUTO
1983,Rodrigues e Silva Comercio de Material Elétrico LTDA Thiago Victor Rodrigues da Silva,RS Soluções,Rodrigues e Silva Comercio de Material Elétrico LTDA,13.218.881/0001-63,82988029953,Maceió,Alagoas,
1991,ECOPROJET SOLUÇÕES EM ENGENHARIA LTDA LARISSA BRITTO ALBUQUERQUE NAVARRO,ECOPROJET SOLUÇÕES EM ENGENHARIA,ECOPROJET SOLUÇÕES EM ENGENHARIA LTDA,28.779.055/0001-60,(82)99955-0245,Maceió,Alagoas,
2050,PEDRO HENRIQUE GONCALVES BARROS 12696108480 JUNIOR BARROS,SUNLIGHT,PEDRO HENRIQUE GONCALVES BARROS 12696108480,33.194.139/0001-72,(82) 34365-003,Maceió,Alagoas,FLÁVIA SOUTO
2133,TRIAD ARTE ARQUITETURA ENGENHARIA LTDA Ricardo,TRIAD ARTE ARQUITETURA ENGENHARIA LTDA,TRIAD ARTE ARQUITETURA ENGENHARIA LTDA,34.053.988/0001-79,(82) 96177-323,Maceió,Alagoas,DAVID LINHARES
2172,D SOLARE ENERGIA E INOVACAO LTDA Barbara/Renata,D SOLARE ENERGIA,D SOLARE ENERGIA E INOVACAO LTDA,25.003.808/0001-53,(82) 99661-0203,Maceió,Alagoas,FLÁVIA SOUTO
2244,LUIZ ALVES RIBEIRO JUNIOR LUIZ ALVES RIBEIRO JUNIOR,ELETROINFO,LUIZ ALVES RIBEIRO JUNIOR,03.479.859/0001-13,(82) 99804-2220,Santana do Ipanema,Alagoas,
2316,edson ferreira da silva,emteck engenharia e serviços,edson,33.613.451/0001-53,82993592734,Maceio,Alagoas,FLÁVIA SOUTO
2407,MARPTEK COMERCIO DE ELETRO-ELETRONICOS LTDA - ME Dannyel Balbino da Silva,Danielle Distribuidora,MARPTEK COMERCIO DE ELETRO-ELETRONICOS LTDA - ME,09.272.258/0001-11,(82) 99676-5353,Arapiraca,Alagoas,
2468,Brotherson Américo da Silva Ronaldo Silva,Sohard Energia Solar,Ruiter dos Santos,09.244.052/0001-88,82999359188,Maceió,Alagoas,FLÁVIA SOUTO
2475,ADELMO EUGENIO DOS SANTOS 89470010400 Adelmo Eugênio,CK ENGENHARIA,ADELMO EUGENIO DOS SANTOS 89470010400,35.165.204/0001-67,(82) 98753-4867,Maceió,Alagoas,MONIQUE ARNAUD
2494,RENOVAR INSTALACAO E MANUTENCAO ELETRICA LTDA RENOVAR ENERGIA,RENOVAR ENERGIA,RENOVAR INSTALACAO E MANUTENCAO ELETRICA LTDA,31.230.996/0001-55,(82) 99114-0634,Maceió,Alagoas,CRAVEIRO JUNIOR
2582,SEM LIMITES CONSTRUCOES CIVIS E REFORMAS LTDA fernando,SEM LIMITES CONSTRUCOES CIVIS E REFORMAS,SEM LIMITES CONSTRUCOES CIVIS E REFORMAS LTDA,17.165.734/0001-23,(82) 99921-8598,Maceió,Alagoas,
2584,W D ENGENHARIA LTDA KLEBER WANDERLEY DAMASCENO,W D ENGENHARIA,W D ENGENHARIA LTDA,33.086.959/0001-40,(82) 99900-9381,Santana do Ipanema,Alagoas,DAVID LINHARES
2790,GSEL - GUIMARAES SANDES ENERGIA - Jorge Sades GSEL - GUIMARAES SANDES ENERGIA - Jorge Sades,GSEL - Guimarães Sandes Energia,SILVANA MARCIA GUIMARAES SANDES E CIA LTDA,05.638.141/0001-58,(82) 32418-588,MACEIÓ,Alagoas,FLÁVIA SOUTO
2891,B V SOARES HENRIQUE VANDERLEI SOARES,HVS ENGENHARIA SOLAR,B V SOARES,30.880.852/0001-81,(82) 99932-0559,São Miguel dos Campos,Alagoas,Natália Guimarães
2926,Carla Vanessa Loureço da Silva Pantaleão 07789626442 Carla Vanessa Loureço da Silva Pantaleão,RV SOLAR,Carla Vanessa Loureço da Silva Pantaleão 07789626442,36.538.820/0001-89,(82) 98109-3394,Maceió,Alagoas,JOÃO NETO
3219,MONTSOLAR Paulo Sérgio Rocha Monteiro,MONTSOLAR,MONTSOLAR,23.585.154/0001-98,(82) 98223-3062,Maceió,Alagoas,NAGILA OLIVEIRA
3231,DC ENGENHARIA Vanrelmo,DAVID MATIAS COIMBRA 03188577400,DC ENGENHARIA,30.062.157/0001-02,(82) 99178-1104,Maceió,Alagoas,
3342,ROSINALDO GOMES DOS SANTOS 67818820400 ROSINALDO GOMES DOS SANTOS,A R ENERGIA SOLAR MACEIO,ROSINALDO GOMES DOS SANTOS 67818820400,35.333.226/0001-99,(82) 98804-5187,Maceió,Alagoas,Bruna Muniz
3376,TROPICUS ENERGIA E ARQUITETURA SUSTENTAVEL LTDA Alessandro Tenório Fontes,TROPICUS,TROPICUS ENERGIA E ARQUITETURA SUSTENTAVEL LTDA,18.121.266/0001-58,(82) 99920-0110,Maceió,Alagoas,JOÃO NETO
3430,KLAUS C BARROS KAPTAR,KAPTAR - ENERGIA SOLAR E SERVICOS DE ENGENHARIA,KLAUS C BARROS,29.553.496/0001-02,(82) 99944-8890,Arapiraca,Alagoas,LUIZA CRISTINA
3450,J. M. V. SILVA - CONNTEC Jean Marcel Vieira Silva,CONNTEC,J. M. V. SILVA - CONNTEC,25.203.774/0001-40,(82) 99946-9016,Maceió,Alagoas,DAVID LINHARES
3481,Alessandro Rafael De Lima Martins 10817177426 Tecsolar - MULT SERVICES,MULT SERVICES,Alessandro Rafael De Lima Martins 10817177426,24.088.572/0001-32,(82) 99313-7078,Maceió,Alagoas,FLÁVIA SOUTO
